cate,topic,entity_count,entity_rate
0,4,4,0.210526
0,5,0,0
0,3,0,0
0,4,0,0
0,5,2,0.666667
0,2,0,0
0,1,0,0
0,4,1,0.166667
0,4,0,0
0,4,0,0
0,4,2,0.111111
0,4,1,0.25
0,4,2,0.2
0,4,0,0
0,4,2,0.5
0,4,1,0.333333
0,0,4,0.444444
0,5,0,0
0,4,1,0.0909091
0,5,2,1
0,2,0,0
0,5,2,0.666667
0,5,2,1
0,1,3,0.333333
0,5,1,0.5
0,4,0,0
0,4,0,0
0,3,2,0.4
0,2,4,0.363636
0,4,0,0
0,4,4,0.235294
0,7,2,0.5
0,5,0,0
0,2,0,0
0,4,1,0.125
0,1,0,0
0,4,1,0.166667
0,4,1,0.5
0,5,1,0.333333
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,4,2,0.25
0,5,0,0
0,4,0,0
0,4,1,0.0714286
0,7,0,0
0,5,2,0.666667
0,4,3,0.272727
0,5,1,1
0,4,1,0.166667
0,4,1,0.0769231
0,4,1,0.0909091
0,4,7,0.318182
0,4,3,0.166667
0,3,0,0
0,4,2,0.166667
0,7,0,0
0,4,0,0
0,5,1,0.333333
0,4,3,0.428571
0,5,0,0
0,4,2,0.285714
0,4,6,0.352941
0,0,1,0.0909091
0,7,0,0
0,4,1,0.333333
0,4,0,0
0,4,5,0.25
0,4,3,0.2
0,5,1,0.5
0,4,1,0.0555556
0,4,3,0.176471
0,4,0,0
0,4,0,0
0,4,0,0
0,4,4,0.210526
0,4,4,0.307692
0,5,0,0
0,4,0,0
0,5,0,0
0,5,0,0
0,4,2,0.25
0,5,0,0
0,5,0,0
0,5,2,1
0,5,0,0
0,7,0,0
0,4,1,0.0714286
0,4,2,0.117647
0,4,1,0.0769231
0,4,4,0.266667
0,5,1,0.5
0,1,0,0
0,2,1,0.25
0,1,1,0.5
0,4,2,0.133333
0,4,0,0
0,2,4,0.333333
0,5,1,0.333333
0,5,1,0.333333
0,5,0,0
0,4,5,0.454545
0,4,2,0.5
0,7,2,0.666667
0,4,3,0.157895
0,2,1,0.333333
0,4,1,0.25
0,4,0,0
0,0,5,0.227273
0,5,0,0
0,5,0,0
0,4,0,0
0,1,0,0
0,4,0,0
0,2,8,0.615385
0,5,0,0
0,4,6,0.4
0,3,1,0.111111
0,4,1,0.2
0,4,0,0
0,5,2,0.666667
0,1,1,0.1
0,1,2,0.4
0,4,3,0.272727
0,4,2,0.0869565
0,4,2,0.181818
0,5,0,0
0,4,10,0.625
0,4,0,0
0,5,0,0
0,4,2,0.181818
0,2,0,0
0,4,0,0
0,4,1,0.0769231
0,4,3,0.230769
0,5,0,0
0,4,2,0.125
0,4,2,0.2
0,2,0,0
0,3,0,0
0,4,1,0.1
0,4,2,0.222222
0,4,1,0.0909091
0,4,2,0.181818
0,5,0,0
0,1,0,0
0,4,1,0.1
0,5,1,0.5
0,4,0,0
0,1,1,0.2
0,4,5,0.25
0,5,1,0.5
0,5,1,0.333333
0,5,0,0
0,5,0,0
0,4,2,0.166667
0,5,1,0.5
0,2,2,0.25
0,1,1,0.125
0,4,0,0
0,1,1,0.166667
0,2,8,0.307692
0,4,0,0
0,4,0,0
0,4,1,0.0909091
0,2,1,0.125
0,2,7,0.4375
0,4,1,0.1
0,5,0,0
0,1,2,0.333333
0,4,2,0.111111
0,4,2,0.111111
0,4,1,0.25
0,1,1,0.166667
0,4,0,0
0,2,2,0.666667
0,4,1,0.25
0,5,0,0
0,4,2,0.285714
0,4,0,0
0,4,2,0.2
0,4,1,0.2
0,5,0,0
0,7,0,0
0,4,2,0.142857
0,5,0,0
0,4,4,0.363636
0,5,0,0
0,5,1,0.142857
0,4,0,0
0,2,1,0.5
0,2,1,0.125
0,4,0,0
0,1,2,0.25
0,5,0,0
0,1,2,0.181818
0,4,3,0.375
2,0,76,0.242038
2,4,26,0.0996169
2,4,72,0.284585
2,0,54,0.159292
2,6,50,0.157233
2,6,45,0.236842
2,0,58,0.216418
2,0,94,0.314381
2,4,47,0.169065
2,0,112,0.314607
2,4,28,0.14359
2,4,70,0.243056
2,0,71,0.341346
2,0,75,0.251678
2,0,85,0.271565
2,4,50,0.211864
2,0,67,0.231034
2,4,78,0.331915
2,0,68,0.243728
2,0,46,0.304636
2,6,87,0.308511
2,4,35,0.132075
2,0,83,0.322957
2,0,47,0.133903
2,8,71,0.202857
2,0,64,0.21843
2,0,72,0.35468
2,0,91,0.271642
2,0,23,0.0771812
2,0,99,0.316294
2,0,95,0.313531
2,0,66,0.204969
2,4,10,0.0341297
2,4,94,0.362934
2,4,39,0.15415
2,0,62,0.184524
2,0,49,0.192913
2,4,85,0.289116
2,0,91,0.271642
2,0,39,0.221591
2,0,50,0.196078
2,4,72,0.284585
2,0,76,0.23676
2,0,95,0.320946
2,0,61,0.192429
2,0,82,0.275168
2,0,60,0.294118
2,4,78,0.331915
2,0,70,0.259259
2,0,61,0.212544
2,0,83,0.260188
2,0,115,0.336257
2,6,50,0.157233
2,0,69,0.249097
2,0,83,0.275748
2,0,54,0.159292
2,0,81,0.276451
2,0,73,0.305439
2,0,57,0.372549
2,0,100,0.294118
2,0,84,0.280936
2,0,71,0.206395
2,0,72,0.218182
2,4,25,0.186567
2,4,70,0.243056
2,4,21,0.189189
2,0,50,0.196078
2,0,93,0.302932
2,0,79,0.245342
2,0,36,0.17734
2,0,54,0.242152
2,0,98,0.288235
2,0,84,0.328125
2,0,73,0.255245
2,0,93,0.286154
2,2,27,0.10757
2,6,105,0.336538
2,0,63,0.221831
2,0,73,0.273408
2,2,5,0.227273
2,0,44,0.161765
2,0,55,0.226337
2,0,73,0.223242
2,0,39,0.128289
2,0,76,0.2375
2,0,78,0.267123
2,0,40,0.32
2,0,6,0.230769
2,0,30,0.188679
2,0,41,0.30597
2,0,35,0.271318
2,4,41,0.257862
2,4,49,0.184211
2,4,94,0.362934
2,0,81,0.269103
2,0,93,0.275964
2,0,68,0.348718
2,0,65,0.236364
2,0,63,0.207237
2,0,65,0.215947
2,0,95,0.313531
2,8,71,0.202857
2,0,82,0.261146
2,0,84,0.328125
2,4,15,0.0806452
2,0,88,0.271605
2,0,83,0.260188
2,0,55,0.212355
2,0,70,0.259259
2,0,57,0.198606
2,0,86,0.276527
2,0,65,0.258964
2,0,78,0.267123
2,0,46,0.15082
2,0,99,0.37218
2,0,110,0.336391
2,0,76,0.320675
2,0,50,0.215517
2,0,57,0.2
2,0,26,0.192593
2,2,82,0.361233
2,0,56,0.176656
2,0,73,0.273408
2,0,79,0.235821
2,6,91,0.31058
2,0,93,0.302932
2,0,67,0.235088
2,0,80,0.274914
2,0,111,0.368771
2,2,54,0.319527
2,0,52,0.168285
2,6,64,0.211921
2,4,51,0.180851
2,0,76,0.233129
2,0,73,0.240132
2,0,68,0.243728
2,0,101,0.311728
2,6,64,0.211921
2,0,97,0.315961
2,0,61,0.192429
2,0,81,0.251553
2,0,106,0.321212
2,0,66,0.302752
2,0,86,0.276527
2,0,61,0.253112
2,0,95,0.276968
2,0,98,0.288235
2,0,78,0.262626
2,2,3,0.6
2,4,70,0.243056
2,0,88,0.271605
2,0,18,0.130435
2,0,49,0.308176
2,4,18,0.0676692
2,0,88,0.427184
2,0,98,0.294294
2,0,30,0.0920245
2,0,67,0.273469
2,0,47,0.290123
2,0,92,0.272189
2,4,27,0.110204
2,0,86,0.284768
2,0,80,0.234604
2,0,62,0.280543
2,0,61,0.181009
2,6,19,0.0655172
2,0,114,0.338279
2,0,73,0.267399
2,0,92,0.276276
2,2,9,0.072
2,0,55,0.226337
2,4,6,0.285714
2,4,43,0.144781
2,0,41,0.30597
2,4,2,0.5
2,0,31,0.171271
2,0,29,0.29
2,0,85,0.281457
2,0,78,0.230089
2,4,26,0.1
2,0,108,0.313953
2,6,81,0.28125
2,0,80,0.250784
2,4,51,0.180851
2,6,105,0.336538
2,0,36,0.290323
2,0,45,0.323741
2,0,48,0.168421
2,0,80,0.274914
2,4,24,0.0902256
2,4,39,0.154762
2,0,105,0.3125
2,0,81,0.276451
2,4,45,0.165441
2,0,36,0.126316
2,0,66,0.372881
2,0,56,0.205882
2,2,37,0.177885
2,0,75,0.251678
2,0,64,0.259109
2,0,112,0.356688
2,0,60,0.352941
2,0,57,0.251101
2,0,40,0.434783
2,0,80,0.234604
2,0,42,0.25
2,0,97,0.315961
2,0,97,0.294833
2,0,56,0.184211
2,4,87,0.286184
2,0,104,0.321981
2,8,79,0.292593
2,0,44,0.176707
2,0,61,0.253112
2,0,95,0.276968
2,8,85,0.357143
2,0,57,0.2
2,0,92,0.272189
2,0,49,0.191406
2,0,52,0.273684
